epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.599,1.80677,2.61778,1.75882,0.49445,0.51245,0.49747,0.2113,1.9512,4.36635,2.09571,0.000330189,0.000330189,0.0673113
2,105.092,1.70683,1.66592,1.63692,0.50096,0.44265,0.42018,0.19519,2.02794,2.37975,2.27032,0.000656953,0.000656953,0.0343048
3,141.87,1.70184,1.6236,1.66588,0.62313,0.54619,0.57431,0.26807,1.85726,2.31305,1.94956,0.000977118,0.000977118,0.00129158
4,179.172,1.67197,1.51664,1.60438,0.63729,0.57482,0.66582,0.33262,1.78226,1.96804,1.84362,0.0009703,0.0009703,0.0009703
5,216.52,1.65847,1.4537,1.59734,0.70708,0.67981,0.7434,0.40033,1.6939,1.47608,1.78081,0.0009604,0.0009604,0.0009604
6,253.578,1.6369,1.38769,1.59726,0.60769,0.64404,0.71455,0.36823,1.71388,1.77512,1.78158,0.0009505,0.0009505,0.0009505
7,290.854,1.59616,1.3441,1.55441,0.77806,0.72007,0.77273,0.41487,1.63774,1.40792,1.72299,0.0009406,0.0009406,0.0009406
8,328.307,1.56843,1.2925,1.52584,0.75271,0.69925,0.77212,0.41006,1.65884,1.30577,1.72283,0.0009307,0.0009307,0.0009307
9,364.857,1.57988,1.26625,1.51264,0.77987,0.61936,0.72611,0.35418,1.80175,1.45405,1.78786,0.0009208,0.0009208,0.0009208
10,401.611,1.53112,1.24415,1.49978,0.73968,0.76283,0.78413,0.42912,1.62607,1.24723,1.67374,0.0009109,0.0009109,0.0009109
11,438.083,1.54139,1.15839,1.48181,0.86077,0.76681,0.8607,0.45245,1.61058,1.09879,1.66569,0.000901,0.000901,0.000901
12,475.311,1.51562,1.17946,1.47193,0.81935,0.79109,0.86817,0.47158,1.56783,1.07981,1.6233,0.0008911,0.0008911,0.0008911
13,512.489,1.51263,1.13337,1.47343,0.77025,0.80238,0.8338,0.45343,1.61116,1.063,1.64643,0.0008812,0.0008812,0.0008812
14,549.751,1.50645,1.05949,1.4744,0.84475,0.81043,0.86778,0.48344,1.61231,1.01662,1.67587,0.0008713,0.0008713,0.0008713
15,586.916,1.49752,1.08815,1.45626,0.80635,0.80772,0.87657,0.49096,1.55614,1.03737,1.62035,0.0008614,0.0008614,0.0008614
16,623.544,1.47463,1.0568,1.44897,0.80086,0.78995,0.86205,0.48012,1.55305,1.05373,1.58961,0.0008515,0.0008515,0.0008515
17,660.619,1.45886,1.06014,1.43443,0.84706,0.83245,0.88842,0.47136,1.60328,1.0063,1.64262,0.0008416,0.0008416,0.0008416
18,697.864,1.49045,1.03977,1.44957,0.87984,0.84678,0.90121,0.50164,1.52792,0.9213,1.58473,0.0008317,0.0008317,0.0008317
19,734.664,1.43289,1.00629,1.4168,0.86646,0.78364,0.88214,0.49991,1.54194,0.99399,1.58671,0.0008218,0.0008218,0.0008218
20,771.569,1.45582,1.00489,1.43547,0.78063,0.80143,0.86265,0.49136,1.56379,1.13511,1.62037,0.0008119,0.0008119,0.0008119
21,808.462,1.43964,1.00467,1.41442,0.86101,0.83063,0.89528,0.47742,1.64357,0.95407,1.64894,0.000802,0.000802,0.000802
22,844.664,1.46257,0.98292,1.42828,0.80113,0.78974,0.85761,0.48826,1.54547,1.03728,1.58999,0.0007921,0.0007921,0.0007921
23,881.571,1.40025,0.96343,1.40135,0.88086,0.79327,0.87727,0.4942,1.57083,1.0115,1.6428,0.0007822,0.0007822,0.0007822
24,918.391,1.40517,0.94367,1.41756,0.85442,0.84845,0.90809,0.52016,1.52782,0.87155,1.57296,0.0007723,0.0007723,0.0007723
25,955.334,1.3862,0.92085,1.38897,0.90304,0.81055,0.90062,0.50488,1.55029,0.90172,1.59766,0.0007624,0.0007624,0.0007624
26,991.999,1.36819,0.88225,1.36786,0.86818,0.85364,0.91591,0.5212,1.55099,0.85466,1.5945,0.0007525,0.0007525,0.0007525
27,1028.32,1.37704,0.90368,1.37472,0.90882,0.84848,0.91232,0.52344,1.52231,0.8308,1.53934,0.0007426,0.0007426,0.0007426
28,1065.46,1.39671,0.88736,1.38138,0.8045,0.83813,0.88712,0.52007,1.50399,0.88226,1.54703,0.0007327,0.0007327,0.0007327
29,1102.55,1.38255,0.89289,1.37193,0.86528,0.87026,0.91651,0.52471,1.51713,0.84254,1.54499,0.0007228,0.0007228,0.0007228
30,1139.58,1.3692,0.87938,1.35724,0.87541,0.85906,0.91505,0.50497,1.56693,0.85624,1.60669,0.0007129,0.0007129,0.0007129
31,1176.33,1.34266,0.85819,1.35926,0.90451,0.85111,0.91754,0.5411,1.48934,0.80578,1.5334,0.000703,0.000703,0.000703
32,1212.76,1.35394,0.84267,1.36814,0.87192,0.84605,0.90508,0.52121,1.49833,0.87265,1.53998,0.0006931,0.0006931,0.0006931
33,1249.62,1.33088,0.83044,1.34661,0.89889,0.86024,0.9363,0.53719,1.50508,0.76504,1.54053,0.0006832,0.0006832,0.0006832
34,1286.48,1.32748,0.8264,1.34744,0.90081,0.86461,0.93111,0.53016,1.53203,0.76581,1.58402,0.0006733,0.0006733,0.0006733
35,1323.16,1.32973,0.84195,1.3474,0.87028,0.88266,0.91546,0.53086,1.50527,0.80733,1.54168,0.0006634,0.0006634,0.0006634
36,1359.76,1.3412,0.83201,1.33884,0.89986,0.87711,0.92882,0.53844,1.50325,0.75036,1.55165,0.0006535,0.0006535,0.0006535
37,1396.13,1.28687,0.77304,1.3132,0.90953,0.87536,0.94594,0.55164,1.46613,0.72166,1.52231,0.0006436,0.0006436,0.0006436
38,1433.14,1.30117,0.79843,1.33291,0.85673,0.89518,0.92654,0.53421,1.5094,0.80304,1.54362,0.0006337,0.0006337,0.0006337
39,1469.8,1.30104,0.77747,1.32797,0.85916,0.91287,0.94208,0.54535,1.49569,0.73595,1.55618,0.0006238,0.0006238,0.0006238
40,1506.77,1.27727,0.75914,1.32382,0.88949,0.906,0.93456,0.55039,1.46525,0.72802,1.55092,0.0006139,0.0006139,0.0006139
41,1543.53,1.24027,0.74874,1.29519,0.88511,0.88544,0.9265,0.53903,1.47279,0.75032,1.5328,0.000604,0.000604,0.000604
42,1579.81,1.26151,0.73775,1.29805,0.88472,0.87679,0.92945,0.54543,1.50097,0.767,1.55657,0.0005941,0.0005941,0.0005941
43,1617.08,1.25735,0.74421,1.29363,0.91406,0.87174,0.9422,0.54266,1.49756,0.7344,1.54103,0.0005842,0.0005842,0.0005842
44,1654.41,1.26283,0.73486,1.2947,0.89118,0.89309,0.93215,0.51871,1.53046,0.75222,1.60912,0.0005743,0.0005743,0.0005743
45,1691.77,1.22541,0.71418,1.28337,0.89682,0.89405,0.93994,0.53539,1.50771,0.70248,1.5571,0.0005644,0.0005644,0.0005644
46,1728.97,1.24581,0.71093,1.29372,0.90323,0.90432,0.95378,0.56467,1.46183,0.69042,1.51924,0.0005545,0.0005545,0.0005545
47,1766.02,1.20504,0.68945,1.27542,0.87762,0.89977,0.93607,0.55966,1.45293,0.73175,1.51379,0.0005446,0.0005446,0.0005446
48,1802.98,1.19427,0.69269,1.27093,0.90544,0.89388,0.94202,0.54827,1.46442,0.70899,1.52665,0.0005347,0.0005347,0.0005347
49,1840.38,1.21826,0.7066,1.27746,0.90913,0.90433,0.93446,0.55364,1.44842,0.71024,1.52582,0.0005248,0.0005248,0.0005248
50,1877.64,1.21186,0.69903,1.26075,0.9104,0.88076,0.94083,0.55007,1.45784,0.71136,1.51396,0.0005149,0.0005149,0.0005149
51,1914.59,1.19977,0.69356,1.26834,0.93037,0.87767,0.94695,0.56063,1.43486,0.67092,1.51156,0.000505,0.000505,0.000505
52,1951.49,1.18473,0.68398,1.26639,0.89676,0.89899,0.94861,0.55436,1.47492,0.69287,1.5304,0.0004951,0.0004951,0.0004951
53,1988.08,1.1734,0.66709,1.26087,0.91136,0.90149,0.95287,0.55964,1.46402,0.67088,1.51136,0.0004852,0.0004852,0.0004852
54,2024.88,1.18787,0.67221,1.25018,0.91516,0.91489,0.95803,0.55315,1.44552,0.66761,1.53327,0.0004753,0.0004753,0.0004753
55,2061.85,1.17198,0.67268,1.25746,0.91438,0.89081,0.93832,0.55564,1.44204,0.67545,1.51162,0.0004654,0.0004654,0.0004654
56,2099.21,1.16107,0.64908,1.2568,0.92186,0.91215,0.94636,0.5604,1.44129,0.65393,1.51434,0.0004555,0.0004555,0.0004555
57,2136.53,1.15146,0.65601,1.24213,0.90553,0.90735,0.94581,0.55796,1.43591,0.68483,1.51261,0.0004456,0.0004456,0.0004456
58,2173.33,1.14201,0.64034,1.23799,0.89665,0.92316,0.94392,0.55595,1.47073,0.68614,1.53778,0.0004357,0.0004357,0.0004357
59,2210.44,1.12278,0.62761,1.22715,0.91798,0.9098,0.94972,0.5589,1.46588,0.65398,1.54733,0.0004258,0.0004258,0.0004258
60,2247.62,1.12514,0.6274,1.21502,0.92223,0.92483,0.95452,0.57468,1.41022,0.63612,1.48987,0.0004159,0.0004159,0.0004159
61,2284.97,1.11903,0.615,1.20963,0.91599,0.9101,0.94189,0.57553,1.4069,0.64939,1.49841,0.000406,0.000406,0.000406
62,2322.3,1.12055,0.62682,1.21366,0.92405,0.90775,0.94514,0.57127,1.42475,0.62046,1.51433,0.0003961,0.0003961,0.0003961
63,2359.48,1.11679,0.6116,1.20705,0.92126,0.91599,0.95231,0.56786,1.43577,0.63172,1.51182,0.0003862,0.0003862,0.0003862
64,2395.72,1.0922,0.60026,1.20652,0.93572,0.92383,0.95203,0.57367,1.38942,0.62298,1.47844,0.0003763,0.0003763,0.0003763
65,2433.03,1.08997,0.60843,1.20695,0.93645,0.91816,0.9515,0.56409,1.41269,0.62007,1.48622,0.0003664,0.0003664,0.0003664
66,2470.37,1.08346,0.59755,1.19345,0.93409,0.91446,0.95308,0.56863,1.40046,0.62863,1.48113,0.0003565,0.0003565,0.0003565
67,2507.54,1.05975,0.59087,1.1861,0.93017,0.93417,0.95647,0.57217,1.41584,0.61922,1.49359,0.0003466,0.0003466,0.0003466
68,2544.78,1.07494,0.58883,1.19083,0.90464,0.91486,0.9463,0.55448,1.44484,0.63696,1.53978,0.0003367,0.0003367,0.0003367
69,2581.43,1.05589,0.57687,1.18728,0.91706,0.92245,0.94831,0.57318,1.39624,0.62802,1.4949,0.0003268,0.0003268,0.0003268
70,2618.84,1.04281,0.57983,1.1851,0.90923,0.92851,0.94866,0.56601,1.42058,0.62457,1.51905,0.0003169,0.0003169,0.0003169
71,2656.16,1.0471,0.56052,1.17166,0.91388,0.92659,0.95021,0.57968,1.39724,0.60625,1.49744,0.000307,0.000307,0.000307
72,2693.61,1.03089,0.56306,1.17182,0.93169,0.91933,0.94657,0.55864,1.43883,0.61882,1.5398,0.0002971,0.0002971,0.0002971
73,2730.82,1.0326,0.56841,1.17451,0.91999,0.92122,0.96133,0.5764,1.39166,0.61824,1.49934,0.0002872,0.0002872,0.0002872
74,2767.76,1.02299,0.56509,1.17021,0.91885,0.93538,0.96348,0.58341,1.38976,0.58966,1.48619,0.0002773,0.0002773,0.0002773
75,2805.44,1.00389,0.5433,1.158,0.92645,0.9213,0.95149,0.57476,1.41632,0.59767,1.51151,0.0002674,0.0002674,0.0002674
76,2843.45,0.99323,0.54431,1.14428,0.92946,0.93536,0.9526,0.57212,1.39159,0.59973,1.51225,0.0002575,0.0002575,0.0002575
77,2881.11,0.97751,0.53693,1.14184,0.90446,0.94359,0.95271,0.57514,1.39104,0.61959,1.50017,0.0002476,0.0002476,0.0002476
78,2918.66,0.9793,0.52649,1.14286,0.94469,0.91916,0.95466,0.57494,1.39034,0.57765,1.50188,0.0002377,0.0002377,0.0002377
79,2956.13,0.9983,0.53406,1.15617,0.93032,0.91362,0.94831,0.57711,1.39263,0.57741,1.50358,0.0002278,0.0002278,0.0002278
80,2993.05,0.98045,0.52485,1.14701,0.93839,0.93022,0.95517,0.58174,1.39412,0.58421,1.5021,0.0002179,0.0002179,0.0002179
81,3030.31,0.95988,0.52093,1.13455,0.913,0.94124,0.94852,0.57859,1.37626,0.58621,1.51276,0.000208,0.000208,0.000208
82,3067.85,0.96192,0.51311,1.13916,0.93071,0.92674,0.95475,0.57644,1.36786,0.58809,1.49821,0.0001981,0.0001981,0.0001981
83,3105.51,0.96539,0.51544,1.13435,0.92608,0.92313,0.94869,0.57648,1.36757,0.58832,1.49103,0.0001882,0.0001882,0.0001882
84,3142.94,0.94959,0.51299,1.12981,0.92467,0.93516,0.95529,0.57779,1.36029,0.58028,1.47356,0.0001783,0.0001783,0.0001783
85,3180.52,0.95071,0.50963,1.12366,0.92113,0.94912,0.95349,0.57702,1.38812,0.58298,1.51642,0.0001684,0.0001684,0.0001684
86,3217.6,0.93107,0.49645,1.11752,0.92454,0.94213,0.95756,0.57889,1.36589,0.58037,1.48495,0.0001585,0.0001585,0.0001585
87,3255.6,0.9266,0.49386,1.1117,0.92123,0.93788,0.95748,0.57831,1.35744,0.57292,1.49004,0.0001486,0.0001486,0.0001486
88,3293.72,0.91321,0.49827,1.10592,0.95054,0.92543,0.95692,0.58351,1.35979,0.56692,1.49686,0.0001387,0.0001387,0.0001387
89,3332.03,0.91451,0.49078,1.10719,0.94944,0.92485,0.95948,0.58175,1.35721,0.56172,1.49847,0.0001288,0.0001288,0.0001288
